"Question","Topic","Subject"
"The word ""robots"" is attributed to","Artificial Intelligence","Technology"
"What is artificial intelligence","Artificial Intelligence",""
"What is a program as it relates to robotics","Artificial Intelligence",""
"What are the four essential characteristics of a robot","Artificial Intelligence",""
"What is Pattern Recognition used for","Artificial Intelligence",""
"Who invented the first remote controlled cars When were they invented","Artificial Intelligence",""
"Built to mimic certain organs in a human body these parts of the robot assess its condition and environment","Artificial Intelligence",""
"Which of these characteristics do AI have","Artificial Intelligence",""
"What does output refer to in robotics","Artificial Intelligence",""
"List the 8 steps in the design process","Artificial Intelligence",""
"This part of the robot consists of software and hardware that processes information and programs the robot to do specific tasks","Artificial Intelligence",""
"What is a bot","Artificial Intelligence",""
"What is the main difference between robots with artificial intelligence and any other computer","Artificial Intelligence",""
"Describe the tasks that either the Pioneer Robot or the Dante II were able to do that humans would have been unable to do","Artificial Intelligence",""
"What does it mean for a machine to ""learn""","Artificial Intelligence",""
"A set of rules for constructing sentences is","Artificial Intelligence",""
"What is heuristics based mostly on","Artificial Intelligence",""
"What would be the most difficult human trait to be imitated by a robot","Artificial Intelligence",""
"One of the examples of machine learning is","Artificial Intelligence",""
"An inference engine is","Artificial Intelligence",""
"Speech recognition technique is","Artificial Intelligence",""
"What does it mean if a computer passes The Turing Test","Artificial Intelligence",""
"Define artificial intelligence","Artificial Intelligence",""
"which of the following is correct about a robot
","Artificial Intelligence",""
"What does heuristic knowledge imply","Artificial Intelligence",""
"What is the purpose of the Turing test
","Artificial Intelligence",""
"Which of the following technique is part of the artificial intelligence (AI)","Artificial Intelligence",""
"What agents does an artificial intelligence engine need to have for it to be effective","Artificial Intelligence",""
"What does an inference engine intend to do","Artificial Intelligence",""
"What is a Turing test","Artificial Intelligence",""
"What involves a computer and two people ","Artificial Intelligence",""
"The identification of spoken words and sentences by computer, making it possible for voice input to be converted into text files is","Artificial Intelligence",""
"What is the role of algorithms in machine learning","Artificial Intelligence",""
"What can be considered an Artificial Intelligence (AI) machine","Artificial Intelligence",""
"Which of the following is the correct definition of fuzzy logic","Artificial Intelligence",""
"Identify the four steps in the problem solving process","Artificial Intelligence",""
"How can the artificial intelligence of a machine be evaluated ","Artificial Intelligence",""
"AI function is to","Artificial Intelligence",""
"An applied part of the science of artificial intelligence is","Artificial Intelligence",""
"In what year will Robots have basic navigation skills and will be used for cleaning or delivery and take on expanded roles in factories Having an intelligence of a lizard with a processing power of 3,000 MIPS","Artificial Intelligence",""
"What is the main objective of the turing test","Artificial Intelligence",""
"To function, an Expert System requires","Artificial Intelligence",""
"One side test where the observer interacts with the machine and a human by teletype, and has to say which one is which","Artificial Intelligence",""
"What would make a robot intelligent","Artificial Intelligence",""
"a robot is","Artificial Intelligence",""
"Mental processes can be programed, in robot so they can","Artificial Intelligence",""
"What is knowledge engineer","Artificial Intelligence",""
