"Question","Topic","Subject"
"When a liquid changes into a solid what is it called","Chemistry","Science"
"Molecules in this phase of matter are tightly packed together","Chemistry","Science"
"What does photosynthesis produce","Chemistry","Science"
"What is it called when matter changes from one state of matter to another","Chemistry","Science"
"What is it called when a solid changes into a liquid","Chemistry","Science"
"What are the three major states of matter","Chemistry","Science"
"Which of the following is NOT a phase of matter","Chemistry","Science"
"Which states of matter do NOT have a definite shape","Chemistry","Science"
"In what process do cells obtain energy from sugar molecules","Chemistry","Science"
"Which lists the substances from least to most acidic","Chemistry","Science"
"What is an example of a solid turning into another state of matter","Chemistry","Science"
"Which of the following descriptions depicts a liquid","Chemistry","Science"
"Atoms consist of which of the following","Chemistry","Science"
"Which best describes oxygen","Chemistry","Science"
"How many neutrons in an atom of chlorine","Chemistry","Science"
"What has a definite shape and volume","Chemistry","Science"
"You can determine the concentration of acids or bases in a solution by using","Chemistry","Science"
"Positively-charged particles are called ","Chemistry","Science"
"The atomic number of an atom is determined by the number of","Chemistry","Science"
"Particles of matter that move faster (like in a gas) have more of what","Chemistry","Science"
"Which of the following is a characteristic of liquids","Chemistry","Science"
"Which state of matter is easily compressed and easily changes shape to fill its container","Chemistry","Science"
"What is a pure substance that cannot be broken down into other substances by chemical or physical means","Chemistry","Science"
"What causes changes in the state of matter","Chemistry","Science"
"A solution at pH is ","Chemistry","Science"
"What are the two major categories of matter","Chemistry","Science"
"What is the amount of space and object takes up called","Chemistry","Science"
"How many neutrons in an atom of chlorine","Chemistry","Science"
"What is the atomic number of hydrogen","Chemistry","Science"
"Which of the following is an indicator of a chemical change or reaction","Chemistry","Science"
"The negatively charged particles in an atom that orbit around the nucleus are called","Chemistry","Science"
"The first Periodic Table was organized by ","Chemistry","Science"
"Which element has 4 neutrons","Chemistry","Science"
"Copper is located in Group 4 and Period 11 of the periodic table","Chemistry","Science"
"Substances that are formed during a chemical change are known as which of the following","Chemistry","Science"
"Mercury is a metalloid","Chemistry","Science"
"Cobalt has 27 protons","Chemistry","Science"
"How is a mixture different from a compound","Chemistry","Science"
"What is a chemical bond","Chemistry","Science"
"Which type of chemicals help to digest food","Chemistry","Science"
"The number of protons in an atom is equal to the","Chemistry","Science"
"The atomic mass is always larger than the atomic number","Chemistry","Science"
"Which substance dissolves another","Chemistry","Science"
"The atomic number and the atomic mass are the same number","Chemistry","Science"
"What is the chemical symbol for iron","Chemistry","Science"
"How many electrons are there in a neutral atom of copper","Chemistry","Science"
"What is the symbol for argon","Chemistry","Science"
"The atomic symbol for rutherfordium is Ru","Chemistry","Science"
"Every liquid is either a base or an acid","Chemistry","Science"
"It is a chemical change when water freezes","Chemistry","Science"
"Negatively-charged particles in the atom are called  electrons","Chemistry","Science"
"Approximately how many elements are in the Periodic Table of Elements","Chemistry","Science"
"Acids contain a ""H group"" and bases contain an ""OH group""","Chemistry","Science"
"The reactivity of an element is determined by valence electrons","Chemistry","Science"
"Solids have a crystal lattice because the particles","Chemistry","Science"
"Which group of elements most readily combines with Group 17 elements","Chemistry","Science"
"Plasma is comprised of atoms stripped of their electrons","Chemistry","Science"
