"Question","Topic","Subject"
"Which nutrient is our body's main source of energy carbohydrates","Diet and Nutrition","Health and Medicine"
"Which vitamin, often found in citrus fruit, is also known as ascorbic acid vitamin c","Diet and Nutrition","Health and Medicine"
"Weight loss achieved with a fad diet is usually temporary","Diet and Nutrition","Health and Medicine"
"How many calories are in one pound of fat","Diet and Nutrition","Health and Medicine"
"Healthiest type of fat trans fat","Diet and Nutrition","Health and Medicine"
"What is a function of vitamin B12 boosts the immune system","Diet and Nutrition","Health and Medicine"
" A ratio of a person's weight to height body mass index","Diet and Nutrition","Health and Medicine"
"The body's rate of energy use at rest basal metabolic rate","Diet and Nutrition","Health and Medicine"
"Which disease is caused by bacteria Common Cold","Diet and Nutrition","Health and Medicine"
"During the first 15 seconds of exercise, what energy source are you using Fats","Diet and Nutrition","Health and Medicine"
"Name the four disease causing pathogens","Diet and Nutrition","Health and Medicine"
"Which of the following disease is caused by a fungi Ring Worm","Diet and Nutrition","Health and Medicine"
"How many calories does each gram of protein have","Diet and Nutrition","Health and Medicine"
"Which rule does not belong in the three basic rules for a healthy diet balance","Diet and Nutrition","Health and Medicine"
"One pound of body weight is roughly equal to how many calories","Diet and Nutrition","Health and Medicine"
"A deficiency of vitamin D can lead to the development of rickets","Diet and Nutrition","Health and Medicine"
"Where is one most likely to obtain their daily requirement of vitamin B6 leafy green vegetables","Diet and Nutrition","Health and Medicine"
"The other term for vitamin B2 is riboflavin             ","Diet and Nutrition","Health and Medicine"
"What is the primary function of vitamin K It is an essential part of the mechanism that clots blood","Diet and Nutrition","Health and Medicine"
"Multigrain' bread is always 'whole-grain'","Diet and Nutrition","Health and Medicine"
"What happens with a high-sugar diet","Diet and Nutrition","Health and Medicine"
"WHY DO WE CHOOSE THE FOOD WE EAT","Diet and Nutrition","Health and Medicine"
"The things that determine what we eat and how often we eat can be caused by stress and depression--eating for comfort","Diet and Nutrition","Health and Medicine"
"Carbohydrates supply the body with energy","Diet and Nutrition","Health and Medicine"
"A fudge-covered cookie contains 9 grams of fat, and there are three cookies in a serving","Diet and Nutrition","Health and Medicine"
"Which group on the food guide pyramid should you eat the most of grains","Diet and Nutrition","Health and Medicine"
"What is the best way to include whole grains in your diet","Diet and Nutrition","Health and Medicine"
"These are substances in food that living things need to live, to grow and to stay healthy nutrients","Diet and Nutrition","Health and Medicine"
"Identify the food that is not a good source of protein","Diet and Nutrition","Health and Medicine"
"Which of these is considered a source of food","Diet and Nutrition","Health and Medicine"
"Which answer would be the incorrect example for a protein","Diet and Nutrition","Health and Medicine"
"Which food group is rich in calcium milk and diary","Diet and Nutrition","Health and Medicine"
"Food energy is measured in units called calories","Diet and Nutrition","Health and Medicine"
"Sugar and starch are called carbohydrates","Diet and Nutrition","Health and Medicine"
"Two nutrients that do not give off energy are water and vitamins","Diet and Nutrition","Health and Medicine"
"From which food group should the largest number of servings in your diet come fruits and vegetables","Diet and Nutrition","Health and Medicine"
