"Word","Tag"
"the","Article"
"about","Adverbs of Place"
"anywhere","Adverbs of Place"
"backward","Adverbs of Place"
"down","Adverbs of Place"
"elsewhere","Adverbs of Place"
"in","Adverbs of Place"
"near","Adverbs of Place"
"on","Adverbs of Place"
"over","Adverbs of Place"
"towards","Adverbs of Place"
"underground","Adverbs of Place"
"along","Adverbs of Place"
"under","Adverbs of Place"
"above","Adverbs of Place"
"away","Adverbs of Place"
"behind","Adverbs of Place"
"downstairs","Adverbs of Place"
"far","Adverbs of Place"
"indoors","Adverbs of Place"
"nearby","Adverbs of Place"
"out","Adverbs of Place"
"upstairs","Adverbs of Place"
"overseas","Adverbs of Place"
"somewhere","Adverbs of Place"
"there","Adverbs of Place"
"up","Adverbs of Place"
"abroad","Adverbs of Place"
"back","Adverbs of Place"
"east","Adverbs of Place"
"here","Adverbs of Place"
"inside","Adverbs of Place"
"off","Adverbs of Place"
"outside","Adverbs of Place"
"next door","Adverbs of Place"
"right","Adverbs of Place"
"below","Adverbs of Place"
"little","Quantifier A"
"few","Quantifier C"
"lots","Quantifier CA"
"lot","Quantifier CA"
"few","Quantifier C"
"many","Quantifier C"
"much","Quantifier A"
"any","Quantifier CA"
"some","Quantifier CA"
"several","Quantifier C"
"majority","Quantifier C"
"less","Quantifier CA"
"none","Quantifier CA"
"plenty","Quantifier CA"
"beautifully","Adverb of manner Positive"
"boldly","Adverb of manner Positive"
"bravely","Adverb of manner Positive"
"calmly","Adverb of manner Positive"
"carefully","Adverb of manner Positive"
"cautiously","Adverb of manner Positive"
"joyously","Adverb of manner Positive"
"eagerly","Adverb of manner Positive"
"gladly","Adverb of manner Positive"
"easily","Adverb of manner Positive"
"elegantly","Adverb of manner Positive"
"equally","Adverb of manner Positive"
"faithfully","Adverb of manner Positive"
"frankly","Adverb of manner Positive"
"honestly","Adverb of manner Positive"
"generously","Adverb of manner Positive"
"gently","Adverb of manner Positive"
"justly","Adverb of manner Positive"
"kindly","Adverb of manner Positive"
"neatly","Adverb of manner Positive"
"obediently","Adverb of manner Positive"
"patiently","Adverb of manner Positive"
"openly","Adverb of manner Positive"
"perfectly","Adverb of manner Positive"
"politely","Adverb of manner Positive"
"powerfully","Adverb of manner Positive"
"promptly","Adverb of manner Positive"
"quickly","Adverb of manner Positive"
"rapidly","Adverb of manner Positive"
"quitly","Adverb of manner Positive"
"well","Adverb of manner Positive"
"angrily","Adverb of manner Negative"
"anxiously","Adverb of manner Negative"
"awkwardly","Adverb of manner Negative"
"badly","Adverb of manner Negative"
"blindly","Adverb of manner Negative"
"carelessly","Adverb of manner Negative"
"cruelly","Adverb of manner Negative"
"foolishly","Adverb of manner Negative"
"frantically","Adverb of manner Negative"
"greedily","Adverb of manner Negative"
"hastly","Adverb of manner Negative"
"hungrily","Adverb of manner Negative"
"inadequately","Adverb of manner Negative"
"irritably","Adverb of manner Negative"
"lazily","Adverb of manner Negative"
"loudly","Adverb of manner Negative"
"noisily","Adverb of manner Negative"
"madly","Adverb of manner Negative"
"nervously","Adverb of manner Negative"
"painfully","Adverb of manner Negative"
"poorly","Adverb of manner Negative"
"recklessly","Adverb of manner Negative"
"roughly","Adverb of manner Negative"
"rudely","Adverb of manner Negative"
"sadly","Adverb of manner Negative"
"selfishly","Adverb of manner Negative"
"shyly","Adverb of manner Negative"
"stupidly","Adverb of manner Negative"
"suspiciously","Adverb of manner Negative"
"violently","Adverb of manner Negative"
"tensely","Adverb of manner Negative"
"accidently","Adverb of manner Positive Negative "
"busily","Adverb of manner Positive Negative "
"daringly","Adverb of manner Positive Negative "
"deliberately","Adverb of manner Positive Negative "
"exactly","Adverb of manner Positive Negative "
"fast","Adverb of manner Positive Negative "
"fiercely","Adverb of manner Positive Negative "
"hard","Adverb of manner Positive Negative "
"hurriedly","Adverb of manner Positive Negative "
"inquisitively","Adverb of manner Positive Negative "
"loosely","Adverb of manner Positive Negative "
"mysteriously","Adverb of manner Positive Negative "
"rarely","Adverb of manner Positive Negative "
"really","Adverb of manner Positive Negative "
"regularly","Adverb of manner Positive Negative "
"reluctantly","Adverb of manner Positive Negative "
