Questions,Topic,Subject 
Differentiate between single processor and multiprocessorsystems,Operating Systems,System Software
What is meant bt system call ,Operating Systems,
Give an example of system call used in process management.,Operating Systems,
Discuss the different states of a process.,Operating Systems,
What is thread ?,Operating Systems,
Discuss the functions of an Operating System.,Operating Systems,
What is meant by Process Control Block? Discuss it's significance.,Operating Systems,
Explain Context switching in detail.,Operating Systems,
Discuss the operating Systems used in 3 different computing environments.,Operating Systems,
Differentiate between Monolithic and Micro kernel Design of OS.,Operating Systems,
Briefly discuss Process Creation and Termination procedures.,Operating Systems,
What is meant by Critical Section? Explain.,Operating Systems,
Discuss Semaphores.,Operating Systems,
Explain resource allocation graph with an example,Operating Systems,
What is circular wait?Explain.,Operating Systems,
What is Dining Philosophers Problem?,Operating Systems,
Consider the following set of processes that arrive at time 0 with the length of the CPU burst time given in milliseconds.,Operating Systems,
Schedule the process using Round Robin Scheduling Algorithm,Operating Systems,
Differentiate between Multilevel Queue scheduling and Multilevel feedback queue scheduling.,Operating Systems,
Show that if the wait and signal operations are not executed automatically then mutual exclusion may be violated.,Operating Systems,
Suppose that a system is in unsafe state. Show that it is possible for the process to complete their execution without entering a deadlock state.,Operating Systems,
What is the Bounded Buffer Problem? Discuss.,Operating Systems,
Discuss the First Fit allocation algorithms.,Operating Systems,
Discuss the Worst Fit allocation algorithms,Operating Systems,
Discuss the Best Fit allocation algorithms,Operating Systems,
"Given memory partitions of 100 KB, 500 KB, 200 KB, 300 KB, and 600 KB. How would each of the First fit Best-Fit and Worst-Fit algorithms place processes of 212 KB, 417 KB, 112 KB, and 426 KB ?",Operating Systems,
Differentiate between Paging and Segmentation.,Operating Systems,
Explain the difference between internal and external fragmentation.,Operating Systems,
Discuss the Access Matrix used in Protection.,Operating Systems,
How do clustered systems differ from multiprocessor systems?,Operating Systems,
What is the main advantage of the microkernel approach to system design?,Operating Systems,
What are the components of a process which are not shared across threads in a multithreaded process?,Operating Systems,
What is the use of pipe system call?,Operating Systems,
How does the distinction between kernel mode and user mode function as a basic form of protection system? ,Operating Systems,
What is the role of timer in operating system?,Operating Systems,
Differentiate between a standard C library and a system call,Operating Systems,
Explain how a new process can be created in Unix using fork system call,Operating Systems,
What are the fields in a Process Control Block (PCB),Operating Systems,
"With the help of a diagram, describe the actions taken by a kernel to context-switch between processes.",Operating Systems,
What is the use of conditional variables in a monitor ?,Operating Systems,
What are the conditions to be satisfied to ensure solution to critical section problem?,Operating Systems,
What are the disadvantages of shortest job first algorithm? What is the strategy to overcome it?,Operating Systems,
Who is the ‘banker’ in banker’s algorithm? Justify your answer.,Operating Systems,
A semaphore ensures mutual exclusion even if it is built of sequence of instructions. Justify. (3),Operating Systems,
Draw the Gantt chart and find the average waiting time for the FCFS algorithms,Operating Systems,
Draw the Gantt chart and find the average waiting time for the Shortest Remaining Time First algorithms,Operating Systems,
