Question,Topic,Subject
How many amperes flow through a -watt bulb when  volts are  impressed across it?,Physics,Science
State Amperes Circuital Law.,Physics,
wo electric bulbs marked and  are   connected in series to a supply. Which of the bulbs will fuse?,Physics,
A solid ball of metal has a spherical cavity inside it. When the ball is heated the volume of the cavity will,Physics,
Rain drops acquire spherical shape due to ,Physics,
Sound following a flash of lightning is called,Physics,
The basic reason for the extraordinary sparkle of suitably cut diamond is that,Physics,
Air pressure is usually highest when the air is ,Physics,
The rate of change of linear momentum of a body falling freely under gravity is equal to it's ?,Physics,
The minimum number of Non zero non collinear vectors required to produce a zero vector is,Physics,
What is the SI unit of pressure,Physics,
The working of the quartz crystal in the watch is based on the,Physics,
1 Joule is Equal to,Physics,
Optical fiber works on the principle of,Physics,
A potentiometer wire is long and a constant potential difference is maintained across it. Two cells are connected in series first to support one another and then in opposite direction. The balance points are obtained at cm and cm from the positive end of the wire in the two cases. The ratio of the emf's is :,Physics,
No current will flow between two charged bodies if they have the same ,Physics,
One astronomical unit is the average distance between,Physics,
"If a carrier wave of  is used to carry the signal, the length of transmitting antenna will be equal to ",Physics,
Total internal reflection can take place when light travels from,Physics,
The information of brilliant colors in a thin soap film is a consequence of the phenomena of,Physics,
A periscope works by the principle of,Physics,
The image of an object formed on the retina of the eye is ,Physics,
A boat loaded with rocks floats in the middle of a swimming pool. A man in the boat throws the rocks overboard. The level of water in the pool will,Physics,
Erg cross Sec is the unit of,Physics,
"What is the full form of ""RADAR"" ",Physics,
Is  Paramagnetic or Diamagnetic? ,Physics,
"The capacity of a pure capacitor is farad. In D.C circuit, its effective resistance will be",Physics,
The Capacity of a Communication Channel is Measured in,Physics,
The quality of sound produced by an instrument depends on the,Physics,
A man jumping out of a moving train is thrown ,Physics,
Which component of an IED creates an electrical charge?,Physics,
The rotational effect of a force on a body about an axis of rotation is described in terms of,Physics,
An object that has kinetic energy must be,Physics,
"At the Curie temperature, the ferromagnetic materials get converted into",Physics,
The inability of a body to change its state of rest or uniform motion along a straight line is called its,Physics,
Unit of solid angle is,Physics,
Decibel is the unit of,Physics,
Atmospheric pressure exerted on earth is due to,Physics,
"In a Cinema hall, the distance between the projector and the screen is increased by 2%. Then the intensity of illumination on the screen is ",Physics,
What is the main function of an ignition safety switch? ,Physics,
What kind of crystalline solid is graphite?,Physics,
"A woman's voice is shriller than a man,s voice due to",Physics,
